runtime,model,display_name,cases,llm_successes,failures,avg_score,min_score,max_score,avg_wall_time_seconds,observed_input_units,observed_output_units,observed_total_units,estimated_input_tokens,estimated_output_tokens,estimated_total_tokens,price_input_usd_per_1m,price_output_usd_per_1m,estimated_suite_cost_usd,estimated_avg_case_cost_usd,score_per_estimated_usd,estimated_tokens_per_score_point,cost_type,pricing_source,pricing_note
agentlas_antigravity,default,Antigravity CLI / default,9,0,9,0.0,0.0,0.0,1.432,0,0,0,0,0,0,,,,,,,unavailable,,No usable LLM output or no official API price mapped.
agentlas_claude,claude-sonnet-4-6,Claude Code / Sonnet 4.6,9,9,0,96.0,95.0,98.0,353.502,17542,350853,368395,4386,87713,92099,3.0,15.0,1.328853,0.147650,72.24,959.36,proxy_estimate_chars_div_4,https://www.anthropic.com/claude/sonnet,Anthropic API list price for Claude Sonnet 4.6.
agentlas_codex,gpt-5.5,Codex CLI / GPT-5.5,9,9,0,96.0,95.0,98.0,67.404,46801,121766,168567,11700,30442,42142,5.0,30.0,0.971760,0.107973,98.79,438.98,proxy_estimate_chars_div_4,https://openai.com/index/introducing-gpt-5-5/,"OpenAI announced API list price; this run used Codex CLI, not a direct API invoice."
agentlas_gemini,gemini-3-flash-preview,Gemini CLI / 3 Flash,9,9,0,94.11,93.0,96.0,65.778,46801,118895,165696,11700,29724,41424,0.5,3.0,0.095022,0.010558,990.41,440.16,proxy_estimate_chars_div_4,https://ai.google.dev/gemini-api/docs/pricing,Gemini 3 Flash Preview standard tier.
agentlas_gemini,gemini-3.1-pro-preview,Gemini CLI / 3.1 Pro,9,9,0,96.0,95.0,98.0,41.406,46801,60212,107013,11700,15053,26753,2.0,12.0,0.204036,0.022671,470.51,278.68,proxy_estimate_chars_div_4,https://ai.google.dev/gemini-api/docs/pricing,Gemini 3.1 Pro Preview standard tier for prompts <=200k tokens.
agentlas_upstage,solar-pro2,Upstage CLI / Solar Pro 2,9,9,0,95.89,95.0,98.0,9.787,46801,54048,100849,11700,13512,25212,0.15,0.6,0.009862,0.001096,9722.87,262.93,proxy_estimate_chars_div_4,https://www.upstage.ai/pricing,Upstage Solar Pro 2 public pricing.
